Hour,OD-600,Strain,Trial
0,0.073,AR-0945,1
1,0.129,AR-0945,1
2,0.144,AR-0945,1
3,0.181,AR-0945,1
4,0.204,AR-0945,1
5,0.237,AR-0945,1
6,0.273,AR-0945,1
7,0.303,AR-0945,1
8,0.339,AR-0945,1
9,0.37,AR-0945,1
10,0.409,AR-0945,1
11,0.453,AR-0945,1
12,0.489,AR-0945,1
13,0.533,AR-0945,1
14,0.577,AR-0945,1
15,0.616,AR-0945,1
16,0.641,AR-0945,1
17,0.669,AR-0945,1
18,0.692,AR-0945,1
19,0.713,AR-0945,1
20,0.731,AR-0945,1
21,0.741,AR-0945,1
0,0.072,AM,1
1,0.133,AM,1
2,0.143,AM,1
3,0.175,AM,1
4,0.202,AM,1
5,0.228,AM,1
6,0.253,AM,1
7,0.276,AM,1
8,0.298,AM,1
9,0.33,AM,1
10,0.359,AM,1
11,0.391,AM,1
12,0.425,AM,1
13,0.457,AM,1
14,0.494,AM,1
15,0.525,AM,1
16,0.56,AM,1
17,0.576,AM,1
18,0.59,AM,1
19,0.596,AM,1
20,0.606,AM,1
21,0.61,AM,1
0,0.062,CBW4,1
1,0.168,CBW4,1
2,0.181,CBW4,1
3,0.206,CBW4,1
4,0.236,CBW4,1
5,0.251,CBW4,1
6,0.271,CBW4,1
7,0.286,CBW4,1
8,0.307,CBW4,1
9,0.329,CBW4,1
10,0.347,CBW4,1
11,0.37,CBW4,1
12,0.392,CBW4,1
13,0.412,CBW4,1
14,0.434,CBW4,1
15,0.456,CBW4,1
16,0.48,CBW4,1
17,0.503,CBW4,1
18,0.527,CBW4,1
19,0.542,CBW4,1
20,0.556,CBW4,1
21,0.567,CBW4,1
0,0.072,CBW6,1
1,0.183,CBW6,1
2,0.201,CBW6,1
3,0.233,CBW6,1
4,0.255,CBW6,1
5,0.284,CBW6,1
6,0.309,CBW6,1
7,0.328,CBW6,1
8,0.356,CBW6,1
9,0.386,CBW6,1
10,0.416,CBW6,1
11,0.447,CBW6,1
12,0.48,CBW6,1
13,0.512,CBW6,1
14,0.541,CBW6,1
15,0.569,CBW6,1
16,0.595,CBW6,1
17,0.607,CBW6,1
18,0.623,CBW6,1
19,0.637,CBW6,1
20,0.657,CBW6,1
21,0.671,CBW6,1
0,0.07,JA,1
1,0.123,JA,1
2,0.138,JA,1
3,0.166,JA,1
4,0.186,JA,1
5,0.208,JA,1
6,0.226,JA,1
7,0.25,JA,1
8,0.269,JA,1
9,0.293,JA,1
10,0.316,JA,1
11,0.339,JA,1
12,0.365,JA,1
13,0.385,JA,1
14,0.407,JA,1
15,0.434,JA,1
16,0.456,JA,1
17,0.474,JA,1
18,0.495,JA,1
19,0.518,JA,1
20,0.532,JA,1
21,0.539,JA,1
0,0.084,MRS,1
1,0.143,MRS,1
2,0.159,MRS,1
3,0.19,MRS,1
4,0.217,MRS,1
5,0.239,MRS,1
6,0.262,MRS,1
7,0.287,MRS,1
8,0.306,MRS,1
9,0.336,MRS,1
10,0.359,MRS,1
11,0.385,MRS,1
12,0.411,MRS,1
13,0.438,MRS,1
14,0.469,MRS,1
15,0.506,MRS,1
16,0.534,MRS,1
17,0.548,MRS,1
18,0.563,MRS,1
19,0.575,MRS,1
20,0.584,MRS,1
21,0.595,MRS,1
0,0.115,LT,1
1,0.155,LT,1
2,0.169,LT,1
3,0.198,LT,1
4,0.222,LT,1
5,0.251,LT,1
6,0.272,LT,1
7,0.29,LT,1
8,0.315,LT,1
9,0.347,LT,1
10,0.376,LT,1
11,0.402,LT,1
12,0.427,LT,1
13,0.455,LT,1
14,0.484,LT,1
15,0.519,LT,1
16,0.539,LT,1
17,0.551,LT,1
18,0.564,LT,1
19,0.576,LT,1
20,0.583,LT,1
21,0.593,LT,1
0,0.138,LJT,1
1,0.167,LJT,1
2,0.184,LJT,1
3,0.218,LJT,1
4,0.252,LJT,1
5,0.287,LJT,1
6,0.312,LJT,1
7,0.348,LJT,1
8,0.379,LJT,1
9,0.43,LJT,1
10,0.471,LJT,1
11,0.517,LJT,1
12,0.574,LJT,1
13,0.613,LJT,1
14,0.64,LJT,1
15,0.657,LJT,1
16,0.679,LJT,1
17,0.701,LJT,1
18,0.716,LJT,1
19,0.728,LJT,1
20,0.738,LJT,1
21,0.74,LJT,1
0,0.073,AR-0945,2
1,0.13,AR-0945,2
2,0.145,AR-0945,2
3,0.182,AR-0945,2
4,0.216,AR-0945,2
5,0.243,AR-0945,2
6,0.275,AR-0945,2
7,0.309,AR-0945,2
8,0.345,AR-0945,2
9,0.38,AR-0945,2
10,0.42,AR-0945,2
11,0.456,AR-0945,2
12,0.495,AR-0945,2
13,0.544,AR-0945,2
14,0.591,AR-0945,2
15,0.619,AR-0945,2
16,0.651,AR-0945,2
17,0.673,AR-0945,2
18,0.698,AR-0945,2
19,0.721,AR-0945,2
20,0.731,AR-0945,2
21,0.744,AR-0945,2
0,0.072,AM,2
1,0.134,AM,2
2,0.147,AM,2
3,0.178,AM,2
4,0.203,AM,2
5,0.225,AM,2
6,0.248,AM,2
7,0.271,AM,2
8,0.29,AM,2
9,0.315,AM,2
10,0.342,AM,2
11,0.37,AM,2
12,0.396,AM,2
13,0.428,AM,2
14,0.454,AM,2
15,0.482,AM,2
16,0.513,AM,2
17,0.549,AM,2
18,0.577,AM,2
19,0.585,AM,2
20,0.593,AM,2
21,0.599,AM,2
0,0.062,CBW4,2
1,0.173,CBW4,2
2,0.186,CBW4,2
3,0.214,CBW4,2
4,0.236,CBW4,2
5,0.253,CBW4,2
6,0.275,CBW4,2
7,0.297,CBW4,2
8,0.321,CBW4,2
9,0.343,CBW4,2
10,0.365,CBW4,2
11,0.39,CBW4,2
12,0.414,CBW4,2
13,0.432,CBW4,2
14,0.452,CBW4,2
15,0.473,CBW4,2
16,0.498,CBW4,2
17,0.524,CBW4,2
18,0.551,CBW4,2
19,0.563,CBW4,2
20,0.578,CBW4,2
21,0.59,CBW4,2
0,0.072,CBW6,2
1,0.198,CBW6,2
2,0.215,CBW6,2
3,0.246,CBW6,2
4,0.267,CBW6,2
5,0.289,CBW6,2
6,0.309,CBW6,2
7,0.337,CBW6,2
8,0.353,CBW6,2
9,0.38,CBW6,2
10,0.4,CBW6,2
11,0.425,CBW6,2
12,0.452,CBW6,2
13,0.469,CBW6,2
14,0.492,CBW6,2
15,0.515,CBW6,2
16,0.552,CBW6,2
17,0.581,CBW6,2
18,0.602,CBW6,2
19,0.609,CBW6,2
20,0.621,CBW6,2
21,0.631,CBW6,2
0,0.07,JA,2
1,0.125,JA,2
2,0.139,JA,2
3,0.171,JA,2
4,0.201,JA,2
5,0.21,JA,2
6,0.235,JA,2
7,0.265,JA,2
8,0.278,JA,2
9,0.312,JA,2
10,0.336,JA,2
11,0.367,JA,2
12,0.393,JA,2
13,0.426,JA,2
14,0.432,JA,2
15,0.454,JA,2
16,0.478,JA,2
17,0.499,JA,2
18,0.519,JA,2
19,0.541,JA,2
20,0.556,JA,2
21,0.563,JA,2
0,0.084,MRS,2
1,0.144,MRS,2
2,0.161,MRS,2
3,0.193,MRS,2
4,0.219,MRS,2
5,0.242,MRS,2
6,0.26,MRS,2
7,0.286,MRS,2
8,0.307,MRS,2
9,0.332,MRS,2
10,0.367,MRS,2
11,0.396,MRS,2
12,0.419,MRS,2
13,0.451,MRS,2
14,0.491,MRS,2
15,0.551,MRS,2
16,0.582,MRS,2
17,0.607,MRS,2
18,0.632,MRS,2
19,0.654,MRS,2
20,0.662,MRS,2
21,0.66,MRS,2
0,0.115,LT,2
1,0.157,LT,2
2,0.172,LT,2
3,0.199,LT,2
4,0.224,LT,2
5,0.247,LT,2
6,0.271,LT,2
7,0.296,LT,2
8,0.32,LT,2
9,0.349,LT,2
10,0.372,LT,2
11,0.401,LT,2
12,0.427,LT,2
13,0.452,LT,2
14,0.486,LT,2
15,0.511,LT,2
16,0.541,LT,2
17,0.559,LT,2
18,0.569,LT,2
19,0.58,LT,2
20,0.594,LT,2
21,0.6,LT,2
0,0.138,LJT,2
1,0.169,LJT,2
2,0.185,LJT,2
3,0.22,LJT,2
4,0.253,LJT,2
5,0.28,LJT,2
6,0.315,LJT,2
7,0.338,LJT,2
8,0.375,LJT,2
9,0.407,LJT,2
10,0.442,LJT,2
11,0.48,LJT,2
12,0.52,LJT,2
13,0.563,LJT,2
14,0.584,LJT,2
15,0.601,LJT,2
16,0.627,LJT,2
17,0.645,LJT,2
18,0.662,LJT,2
19,0.678,LJT,2
20,0.69,LJT,2
21,0.699,LJT,2
0,0.073,AR-0945,3
1,0.129,AR-0945,3
2,0.145,AR-0945,3
3,0.182,AR-0945,3
4,0.215,AR-0945,3
5,0.251,AR-0945,3
6,0.285,AR-0945,3
7,0.322,AR-0945,3
8,0.366,AR-0945,3
9,0.403,AR-0945,3
10,0.45,AR-0945,3
11,0.49,AR-0945,3
12,0.543,AR-0945,3
13,0.597,AR-0945,3
14,0.64,AR-0945,3
15,0.663,AR-0945,3
16,0.703,AR-0945,3
17,0.731,AR-0945,3
18,0.763,AR-0945,3
19,0.781,AR-0945,3
20,0.799,AR-0945,3
21,0.809,AR-0945,3
0,0.072,AM,3
1,0.135,AM,3
2,0.147,AM,3
3,0.174,AM,3
4,0.197,AM,3
5,0.217,AM,3
6,0.235,AM,3
7,0.259,AM,3
8,0.283,AM,3
9,0.303,AM,3
10,0.325,AM,3
11,0.351,AM,3
12,0.386,AM,3
13,0.405,AM,3
14,0.431,AM,3
15,0.459,AM,3
16,0.491,AM,3
17,0.537,AM,3
18,0.55,AM,3
19,0.577,AM,3
20,0.579,AM,3
21,0.595,AM,3
0,0.062,CBW4,3
1,0.174,CBW4,3
2,0.187,CBW4,3
3,0.218,CBW4,3
4,0.245,CBW4,3
5,0.266,CBW4,3
6,0.289,CBW4,3
7,0.311,CBW4,3
8,0.337,CBW4,3
9,0.365,CBW4,3
10,0.391,CBW4,3
11,0.42,CBW4,3
12,0.443,CBW4,3
13,0.47,CBW4,3
14,0.501,CBW4,3
15,0.524,CBW4,3
16,0.554,CBW4,3
17,0.578,CBW4,3
18,0.593,CBW4,3
19,0.601,CBW4,3
20,0.625,CBW4,3
21,0.635,CBW4,3
0,0.072,CBW6,3
1,0.187,CBW6,3
2,0.203,CBW6,3
3,0.227,CBW6,3
4,0.247,CBW6,3
5,0.263,CBW6,3
6,0.286,CBW6,3
7,0.304,CBW6,3
8,0.323,CBW6,3
9,0.349,CBW6,3
10,0.376,CBW6,3
11,0.399,CBW6,3
12,0.42,CBW6,3
13,0.441,CBW6,3
14,0.466,CBW6,3
15,0.488,CBW6,3
16,0.522,CBW6,3
17,0.547,CBW6,3
18,0.563,CBW6,3
19,0.582,CBW6,3
20,0.587,CBW6,3
21,0.594,CBW6,3
0,0.07,JA,3
1,0.125,JA,3
2,0.138,JA,3
3,0.168,JA,3
4,0.198,JA,3
5,0.218,JA,3
6,0.246,JA,3
7,0.271,JA,3
8,0.297,JA,3
9,0.327,JA,3
10,0.357,JA,3
11,0.397,JA,3
12,0.417,JA,3
13,0.451,JA,3
14,0.482,JA,3
15,0.515,JA,3
16,0.549,JA,3
17,0.567,JA,3
18,0.592,JA,3
19,0.611,JA,3
20,0.622,JA,3
21,0.638,JA,3
0,0.084,MRS,3
1,0.14,MRS,3
2,0.158,MRS,3
3,0.185,MRS,3
4,0.208,MRS,3
5,0.227,MRS,3
6,0.247,MRS,3
7,0.269,MRS,3
8,0.284,MRS,3
9,0.305,MRS,3
10,0.33,MRS,3
11,0.344,MRS,3
12,0.36,MRS,3
13,0.386,MRS,3
14,0.409,MRS,3
15,0.429,MRS,3
16,0.462,MRS,3
17,0.497,MRS,3
18,0.526,MRS,3
19,0.543,MRS,3
20,0.568,MRS,3
21,0.58,MRS,3
0,0.115,LT,3
1,0.154,LT,3
2,0.172,LT,3
3,0.204,LT,3
4,0.235,LT,3
5,0.259,LT,3
6,0.282,LT,3
7,0.311,LT,3
8,0.34,LT,3
9,0.369,LT,3
10,0.404,LT,3
11,0.435,LT,3
12,0.467,LT,3
13,0.505,LT,3
14,0.536,LT,3
15,0.561,LT,3
16,0.574,LT,3
17,0.583,LT,3
18,0.591,LT,3
19,0.594,LT,3
20,0.599,LT,3
21,0.603,LT,3
0,0.138,LJT,3
1,0.169,LJT,3
2,0.189,LJT,3
3,0.223,LJT,3
4,0.25,LJT,3
5,0.28,LJT,3
6,0.307,LJT,3
7,0.345,LJT,3
8,0.379,LJT,3
9,0.418,LJT,3
10,0.454,LJT,3
11,0.493,LJT,3
12,0.532,LJT,3
13,0.577,LJT,3
14,0.596,LJT,3
15,0.614,LJT,3
16,0.634,LJT,3
17,0.658,LJT,3
18,0.671,LJT,3
19,0.691,LJT,3
20,0.705,LJT,3
21,0.709,LJT,3